,hit_rate,mean_reciprocal_rank,ndcg,precision_at_k,average_precision,model,user
0,0.02,0.022727272727272728,0.07355687078043689,0.0,0.005681818181818182,SVD,mcgirjau
1,0.0,0.0,0.0,0.0,0.0,NMF,mcgirjau
2,0.0,0.0,0.0,0.0,0.0,BPR,mcgirjau
3,0.08,1.0,0.125615942494884,0.2,0.029852369852369852,SVD,geraldne
4,0.0,0.0,0.0,0.0,0.0,NMF,geraldne
5,0.0,0.0,0.0,0.0,0.0,BPR,geraldne
6,0.08,0.3333333333333333,0.05640572057317998,0.1,0.00781520067234353,SVD,emmanuelwatches
7,0.0,0.0,0.0,0.0,0.0,NMF,emmanuelwatches
8,0.02,0.058823529411764705,0.013515229552908615,0.0,0.0006464124111182935,BPR,emmanuelwatches
9,0.0,0.0,0.0,0.0,0.0,SVD,calliejane
10,0.0,0.0,0.0,0.0,0.0,NMF,calliejane
11,0.0,0.0,0.0,0.0,0.0,BPR,calliejane
12,0.06,0.058823529411764705,0.04184212070077346,0.0,0.0028393175451998983,SVD,beenalee
13,0.0,0.0,0.0,0.0,0.0,NMF,beenalee
14,0.02,0.05,0.013372506187007227,0.0,0.0007575757575757576,BPR,beenalee
15,0.02,0.030303030303030304,0.014689864862439816,0.0,0.00039872408293460925,SVD,jordyn28
16,0.0,0.0,0.0,0.0,0.0,NMF,jordyn28
17,0.0,0.0,0.0,0.0,0.0,BPR,jordyn28
18,0.02,0.2,0.0350865415859552,0.1,0.004545454545454546,SVD,graciemarx
19,0.0,0.0,0.0,0.0,0.0,NMF,graciemarx
20,0.0,0.0,0.0,0.0,0.0,BPR,graciemarx
21,0.0,0.0,0.0,0.0,0.0,SVD,auxtin
22,0.0,0.0,0.0,0.0,0.0,NMF,auxtin
23,0.0,0.0,0.0,0.0,0.0,BPR,auxtin
24,0.02,0.08333333333333333,0.02463490509385709,0.0,0.0017730496453900709,SVD,sarahsquirm
25,0.0,0.0,0.0,0.0,0.0,NMF,sarahsquirm
26,0.0,0.0,0.0,0.0,0.0,BPR,sarahsquirm
27,0.0,0.0,0.0,0.0,0.0,SVD,browsehorror
28,0.0,0.0,0.0,0.0,0.0,NMF,browsehorror
29,0.0,0.0,0.0,0.0,0.0,BPR,browsehorror
30,0.02,0.03333333333333333,0.016517369029526857,0.0,0.0005376344086021505,SVD,gabbypm729
31,0.0,0.0,0.0,0.0,0.0,NMF,gabbypm729
32,0.0,0.0,0.0,0.0,0.0,BPR,gabbypm729
33,0.06,0.5,0.07607062439864028,0.1,0.01159678858162355,SVD,feliomestre
34,0.0,0.0,0.0,0.0,0.0,NMF,feliomestre
35,0.02,0.14285714285714285,0.028571696242076568,0.1,0.0024213075060532684,BPR,feliomestre
36,0.1,1.0,0.14265397307752,0.1,0.0198191094505855,SVD,bobbywags
37,0.04,0.022727272727272728,0.029214491651535147,0.0,0.0009090909090909091,NMF,bobbywags
38,0.0,0.0,0.0,0.0,0.0,BPR,bobbywags
39,0.0,0.0,0.0,0.0,0.0,SVD,samiser
40,0.0,0.0,0.0,0.0,0.0,NMF,samiser
41,0.02,0.05263157894736842,0.015667171657128286,0.0,0.0009930486593843098,BPR,samiser
42,0.06,0.07142857142857142,0.040068487407954455,0.0,0.002788649706457926,SVD,i_am_shego
43,0.0,0.0,0.0,0.0,0.0,NMF,i_am_shego
44,0.02,0.09090909090909091,0.02149467376536804,0.0,0.0012453300124533001,BPR,i_am_shego
45,0.08,0.3333333333333333,0.08594180381136794,0.2,0.012799056820795952,SVD,melodramafilms
46,0.0,0.0,0.0,0.0,0.0,NMF,melodramafilms
47,0.0,0.0,0.0,0.0,0.0,BPR,melodramafilms
48,0.02,0.023809523809523808,0.013144646812275125,0.0,0.00025879917184265007,SVD,happypumpkin18
49,0.0,0.0,0.0,0.0,0.0,NMF,happypumpkin18
50,0.04,0.03333333333333333,0.014344399882059787,0.0,0.0010635811126694717,BPR,happypumpkin18
51,0.08,0.1,0.08435810274920656,0.1,0.007799486088959773,SVD,notmerii
52,0.0,0.0,0.0,0.0,0.0,NMF,notmerii
53,0.02,0.0625,0.012244671441568085,0.0,0.0011574074074074073,BPR,notmerii
54,0.1,0.08333333333333333,0.1388929109662744,0.0,0.01914932971134521,SVD,marijarrett
55,0.0,0.0,0.0,0.0,0.0,NMF,marijarrett
56,0.0,0.0,0.0,0.0,0.0,BPR,marijarrett
57,0.0,0.0,0.0,0.0,0.0,SVD,natb294
58,0.0,0.0,0.0,0.0,0.0,NMF,natb294
59,0.0,0.0,0.0,0.0,0.0,BPR,natb294
60,0.06,1.0,0.1328062881652326,0.2,0.030426716141001852,SVD,funkycowboyy
61,0.0,0.0,0.0,0.0,0.0,NMF,funkycowboyy
62,0.04,0.045454545454545456,0.030283227113475274,0.0,0.002560296846011132,BPR,funkycowboyy
63,0.02,0.1,0.03462288893380019,0.1,0.0029411764705882353,SVD,chickenrunlover
64,0.0,0.0,0.0,0.0,0.0,NMF,chickenrunlover
65,0.0,0.0,0.0,0.0,0.0,BPR,chickenrunlover
66,0.08,0.2,0.06204059507788838,0.1,0.006806415408565947,SVD,freemanlattin
67,0.0,0.0,0.0,0.0,0.0,NMF,freemanlattin
68,0.02,0.08333333333333333,0.014098683433938839,0.0,0.0010288065843621398,BPR,freemanlattin
69,0.0,0.0,0.0,0.0,0.0,SVD,ronditchek
70,0.0,0.0,0.0,0.0,0.0,NMF,ronditchek
71,0.0,0.0,0.0,0.0,0.0,BPR,ronditchek
72,0.0,0.0,0.0,0.0,0.0,SVD,ariana_cav
73,0.0,0.0,0.0,0.0,0.0,NMF,ariana_cav
74,0.0,0.0,0.0,0.0,0.0,BPR,ariana_cav
75,0.12,0.3333333333333333,0.09592051881283312,0.2,0.01426781238811314,SVD,ghostfacereveal
76,0.0,0.0,0.0,0.0,0.0,NMF,ghostfacereveal
77,0.02,0.1111111111111111,0.01869842519923877,0.1,0.001221001221001221,BPR,ghostfacereveal
78,0.0,0.0,0.0,0.0,0.0,SVD,frozen2013
79,0.0,0.0,0.0,0.0,0.0,NMF,frozen2013
80,0.0,0.0,0.0,0.0,0.0,BPR,frozen2013
